language,serieId,setId,setName,cardNumber,cardId,cardName,reason
en,ecard,bog,Best of game,1,bog-1,Electabuzz,SET_MISSING
en,ecard,bog,Best of game,5,bog-5,Rocket’s Sneasel,SET_MISSING
en,ecard,bog,Best of game,4,bog-4,Rocket’s Scizor,SET_MISSING
en,ecard,bog,Best of game,7,bog-7,Dark Venusaur,SET_MISSING
en,ecard,bog,Best of game,3,bog-3,Professor Elm,SET_MISSING
en,ecard,bog,Best of game,2,bog-2,Hitmonchan,SET_MISSING
en,ecard,bog,Best of game,6,bog-6,Dark Ivysaur,SET_MISSING
en,ecard,bog,Best of game,9,bog-9,Rocket’s Hitmonchan,SET_MISSING
en,ecard,bog,Best of game,8,bog-8,Rocket’s Mewtwo,SET_MISSING
en,ecard,ecard2,Aquapolis,H08,ecard2-H08,Entei,CARD_MISSING
en,ecard,ecard2,Aquapolis,50a,ecard2-50a,Golduck,CARD_MISSING
en,ecard,ecard2,Aquapolis,H18,ecard2-H18,Nidoking,CARD_MISSING
en,ecard,ecard2,Aquapolis,74b,ecard2-74b,Drowzee,CARD_MISSING
en,ecard,ecard2,Aquapolis,H28,ecard2-H28,Tyranitar,CARD_MISSING
en,ecard,ecard2,Aquapolis,95a,ecard2-95a,Mr. Mime,CARD_MISSING
en,ecard,ecard2,Aquapolis,H29,ecard2-H29,Umbreon,CARD_MISSING
en,ecard,ecard2,Aquapolis,H09,ecard2-H09,Espeon,CARD_MISSING
en,ecard,ecard2,Aquapolis,H19,ecard2-H19,Ninetales,CARD_MISSING
en,ecard,ecard2,Aquapolis,H02,ecard2-H02,Arcanine,CARD_MISSING
en,ecard,ecard2,Aquapolis,H12,ecard2-H12,Hypno,CARD_MISSING
en,ecard,ecard2,Aquapolis,H26,ecard2-H26,Tentacruel,CARD_MISSING
en,ecard,ecard2,Aquapolis,H06,ecard2-H06,Blissey,CARD_MISSING
en,ecard,ecard2,Aquapolis,H32,ecard2-H32,Zapdos,CARD_MISSING
en,ecard,ecard2,Aquapolis,103b,ecard2-103b,Porygon,CARD_MISSING
en,ecard,ecard2,Aquapolis,H22,ecard2-H22,Slowking,CARD_MISSING
en,ecard,ecard2,Aquapolis,H16,ecard2-H16,Magneton,CARD_MISSING
en,ecard,ecard2,Aquapolis,H07,ecard2-H07,Electrode,CARD_MISSING
en,ecard,ecard2,Aquapolis,H23,ecard2-H23,Steelix,CARD_MISSING
en,ecard,ecard2,Aquapolis,H17,ecard2-H17,Muk,CARD_MISSING
en,ecard,ecard2,Aquapolis,H03,ecard2-H03,Ariados,CARD_MISSING
en,ecard,ecard2,Aquapolis,H13,ecard2-H13,Jumpluff,CARD_MISSING
en,ecard,ecard2,Aquapolis,H27,ecard2-H27,Togetic,CARD_MISSING
en,ecard,ecard2,Aquapolis,H04,ecard2-H04,Azumarill,CARD_MISSING
en,ecard,ecard2,Aquapolis,H30,ecard2-H30,Victreebel,CARD_MISSING
en,ecard,ecard2,Aquapolis,H20,ecard2-H20,Octillery,CARD_MISSING
en,ecard,ecard2,Aquapolis,H14,ecard2-H14,Kingdra,CARD_MISSING
en,ecard,ecard2,Aquapolis,H10,ecard2-H10,Exeggutor,CARD_MISSING
en,ecard,ecard2,Aquapolis,H24,ecard2-H24,Sudowoodo,CARD_MISSING
en,ecard,ecard2,Aquapolis,H01,ecard2-H01,Ampharos,CARD_MISSING
en,ecard,ecard2,Aquapolis,H11,ecard2-H11,Houndoom,CARD_MISSING
en,ecard,ecard2,Aquapolis,H25,ecard2-H25,Suicune,CARD_MISSING
en,ecard,ecard2,Aquapolis,H05,ecard2-H05,Bellossom,CARD_MISSING
en,ecard,ecard2,Aquapolis,H31,ecard2-H31,Vileplume,CARD_MISSING
en,ecard,ecard2,Aquapolis,103a,ecard2-103a,Porygon,CARD_MISSING
en,ecard,ecard2,Aquapolis,H21,ecard2-H21,Scizor,CARD_MISSING
en,ecard,ecard2,Aquapolis,H15,ecard2-H15,Lanturn,CARD_MISSING
en,ecard,ecard2,Aquapolis,95b,ecard2-95b,Mr. Mime,CARD_MISSING
en,ecard,ecard2,Aquapolis,50b,ecard2-50b,Golduck,CARD_MISSING
en,ecard,ecard2,Aquapolis,74a,ecard2-74a,Drowzee,CARD_MISSING
en,ecard,ecard3,Skyridge,H08,ecard3-H08,Forretress,CARD_MISSING
en,ecard,ecard3,Skyridge,H18,ecard3-H18,Magneton,CARD_MISSING
en,ecard,ecard3,Skyridge,H28,ecard3-H28,Starmie,CARD_MISSING
en,ecard,ecard3,Skyridge,H29,ecard3-H29,Steelix,CARD_MISSING
en,ecard,ecard3,Skyridge,H09,ecard3-H09,Gengar,CARD_MISSING
en,ecard,ecard3,Skyridge,H19,ecard3-H19,Magneton,CARD_MISSING
en,ecard,ecard3,Skyridge,H02,ecard3-H02,Arcanine,CARD_MISSING
en,ecard,ecard3,Skyridge,H12,ecard3-H12,Jolteon,CARD_MISSING
en,ecard,ecard3,Skyridge,H26,ecard3-H26,Raikou,CARD_MISSING
en,ecard,ecard3,Skyridge,H06,ecard3-H06,Dewgong,CARD_MISSING
en,ecard,ecard3,Skyridge,H32,ecard3-H32,Xatu,CARD_MISSING
en,ecard,ecard3,Skyridge,H22,ecard3-H22,Piloswine,CARD_MISSING
en,ecard,ecard3,Skyridge,H16,ecard3-H16,Magcargo,CARD_MISSING
en,ecard,ecard3,Skyridge,H07,ecard3-H07,Flareon,CARD_MISSING
en,ecard,ecard3,Skyridge,H23,ecard3-H23,Politoed,CARD_MISSING
en,ecard,ecard3,Skyridge,H17,ecard3-H17,Magcargo,CARD_MISSING
en,ecard,ecard3,Skyridge,H03,ecard3-H03,Articuno,CARD_MISSING
en,ecard,ecard3,Skyridge,H13,ecard3-H13,Kabutops,CARD_MISSING
en,ecard,ecard3,Skyridge,H27,ecard3-H27,Rhydon,CARD_MISSING
en,ecard,ecard3,Skyridge,H04,ecard3-H04,Beedrill,CARD_MISSING
en,ecard,ecard3,Skyridge,H30,ecard3-H30,Umbreon,CARD_MISSING
en,ecard,ecard3,Skyridge,H20,ecard3-H20,Moltres,CARD_MISSING
en,ecard,ecard3,Skyridge,H14,ecard3-H14,Ledian,CARD_MISSING
en,ecard,ecard3,Skyridge,H10,ecard3-H10,Gyarados,CARD_MISSING
en,ecard,ecard3,Skyridge,H24,ecard3-H24,Poliwrath,CARD_MISSING
en,ecard,ecard3,Skyridge,H01,ecard3-H01,Alakazam,CARD_MISSING
en,ecard,ecard3,Skyridge,H11,ecard3-H11,Houndoom,CARD_MISSING
en,ecard,ecard3,Skyridge,H25,ecard3-H25,Raichu,CARD_MISSING
en,ecard,ecard3,Skyridge,H05,ecard3-H05,Crobat,CARD_MISSING
en,ecard,ecard3,Skyridge,H31,ecard3-H31,Vaporeon,CARD_MISSING
en,ecard,ecard3,Skyridge,H21,ecard3-H21,Nidoqueen,CARD_MISSING
en,ecard,ecard3,Skyridge,H15,ecard3-H15,Machamp,CARD_MISSING
en,ex,ex5.5,Poké Card Creator Pack,1,ex5.5-1,Treecko,SET_MISSING
en,ex,ex5.5,Poké Card Creator Pack,5,ex5.5-5,Pikachu,SET_MISSING
en,ex,ex5.5,Poké Card Creator Pack,4,ex5.5-4,Mudkip,SET_MISSING
en,ex,ex5.5,Poké Card Creator Pack,3,ex5.5-3,Torchic,SET_MISSING
en,ex,ex5.5,Poké Card Creator Pack,2,ex5.5-2,Wurmple,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,L,exu-L,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,T,exu-T,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,H,exu-H,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,P,exu-P,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,I,exu-I,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,Q,exu-Q,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,M,exu-M,Unown,SET_MISSING
